Category: All categories,
,
Month,trump lie: (United States)
2020-01,34
2020-02,58
2020-03,46
2020-04,45
2020-05,44
2020-06,43
2020-07,43
2020-08,62
2020-09,84
2020-10,100
2020-11,63
2020-12,25
2021-01,53
2021-02,28
2021-03,17
2021-04,10
2021-05,23
2021-06,17
2021-07,19
2021-08,13
2021-09,16
2021-10,14
2021-11,11
2021-12,11
2022-01,15
2022-02,11
2022-03,13
2022-04,11
2022-05,11
2022-06,30
2022-07,20
2022-08,17
2022-09,14
2022-10,16
2022-11,14
2022-12,11
2023-01,8
2023-02,11
2023-03,12
2023-04,13
2023-05,10
2023-06,13
2023-07,8
2023-08,20
2023-09,12
2023-10,12
2023-11,11
2023-12,10
2024-01,15
2024-02,16
2024-03,21
2024-04,20
2024-05,24
2024-06,75
2024-07,68
2024-08,49
2024-09,73
2024-10,56
2024-11,51
2024-12,20
2025-01,32
2025-02,41
2025-03,40
2025-04,35